,Population,Violent,Robbery
0,179323175,288460,107840
1,182992000,289390,106670
2,185771000,301510,110860
3,188483000,316970,116470
4,191141000,364220,130390
5,193526000,387390,138690
6,195576000,430180,157990
7,197457000,499930,202910
8,199399000,595010,262840
9,201385000,661870,298850
10,203235298,738820,349860
11,206212000,816500,387700
12,208230000,834900,376290
13,209851000,875910,384220
14,211392000,974720,442400
15,213124000,1039710,470500
16,214659000,1004210,427810
17,216332000,1029580,412610
18,218059000,1085550,426930
19,220099000,1208030,480700
20,225349264,1344520,565840
21,229146000,1361820,592910
22,231534000,1322390,553130
23,233981000,1258090,506570
24,236158000,1273280,485010
25,238740000,1328800,497870
26,240132887,1489169,542775
27,242282918,1483999,517704
28,245807000,1566220,542970
29,248239000,1646040,578330
30,248709873,1820130,639270
31,252177000,1911770,687730
32,255082000,1932270,672480
33,257908000,1926020,659870
34,260341000,1857670,618950
35,262755000,1798790,580510
36,265228572,1688540,535590
37,267637000,1634770,498534
38,270296000,1531044,446625
39,272690813,1426044,409371
40,281421906,1425486,408016
41,285317559,1439480,423557
42,287973924,1423677,420806
43,290690788,1383676,414235
44,293656842,1360088,401470
45,296507061,1390745,417438
46,299398484,1418043,447403
47,301621157,1408337,445125
48,304374846,1392628,443574
49,307006550,1325896,408742
50,309330219,1251248,369089
51,311587816,1206031,354772
52,313914040,1214464,354522
